"","name","longitude","latitude","scientificName","genus","species","dateIdentified","elevation","stateProvince","year","month","day","eventDate","countryCode","eventTime","endDayOfYear"
"979","Aeshna cyanea",10.230567,51.040473,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-17T16:05:55",NA,"Thüringen",2020,8,17,2020-08-17,"DE","16:05:06Z",NA
"986","Aeshna cyanea",15.013699,48.812367,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-20T20:09:07",NA,"Niederösterreich",2020,8,20,2020-08-20,"AT","09:06:00Z",NA
"1003","Aeshna cyanea",10.689263,45.857712,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea",NA,NA,"Trentino-Alto Adige",2020,8,8,2020-08-08,"IT","17:55:08Z",NA
"1007","Aeshna cyanea",10.565775,53.274962,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-15T11:31:50",NA,"Niedersachsen",2020,8,15,2020-08-15,"DE","11:25:33Z",NA
"1008","Aeshna cyanea",11.632932,46.990442,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-08T20:36:31",NA,"Trentino-Alto Adige",2020,8,8,2020-08-08,"IT","20:33:25Z",NA
"1029","Aeshna cyanea",16.224892,48.115545,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-20T18:42:42",NA,"Niederösterreich",2020,8,20,2020-08-20,"AT","14:36:00Z",NA
"1033","Aeshna cyanea",11.462367,48.150772,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-09T16:40:34",NA,"Bayern",2020,8,9,2020-08-09,"DE","11:31:51Z",NA
"1034","Aeshna cyanea",10.79682,46.620552,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-08T05:07:49",NA,"Trentino-Alto Adige",2020,8,7,2020-08-07,"IT","10:14:51Z",NA
"1044","Aeshna cyanea",7.706822,50.741647,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-17T16:56:32",NA,"Rheinland-Pfalz",2020,8,17,2020-08-17,"DE","16:56:26Z",NA
"1045","Aeshna cyanea",9.586533,48.903,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-08T09:32:55",NA,"Baden-Württemberg",2020,8,7,2020-08-07,"DE","16:21:39Z",NA
"1050","Aeshna cyanea",14.077356,47.513583,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-19T15:26:41",NA,"Steiermark",2020,8,19,2020-08-19,"AT","15:24:52Z",NA
"1057","Aeshna cyanea",7.087807,49.323819,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-17T16:31:16",NA,"Saarland",2020,8,17,2020-08-17,"DE","16:11:36Z",NA
"1066","Aeshna cyanea",9.913564,51.689078,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-19T11:10:02",NA,"Niedersachsen",2020,8,19,2020-08-19,"DE","11:03:46Z",NA
"1071","Aeshna cyanea",8.24211,49.991659,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-15T12:54:59",NA,"Rheinland-Pfalz",2020,8,15,2020-08-15,"DE","09:43:00Z",NA
"1077","Aeshna cyanea",-1.698,47.893295,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-16T14:49:07",NA,"Bretagne",2020,8,9,2020-08-09,"FR","10:24:00Z",NA
"1186","Aeshna cyanea",11.14557,46.072594,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-26T10:43:08",NA,"Trentino-Alto Adige",2020,8,26,2020-08-26,"IT","10:18:00Z",NA
"1188","Aeshna cyanea",5.914441,51.988739,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea",NA,NA,"Gelderland",2020,8,21,2020-08-21,"NL","11:39:55Z",NA
"1189","Aeshna cyanea",4.850371,49.95476,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-25T10:14:30",NA,"Wallonie",2020,8,22,2020-08-22,"BE","12:32:00Z",NA
"1192","Aeshna cyanea",13.993283,47.601945,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-24T14:50:47",NA,"Steiermark",2020,8,23,2020-08-23,"AT","08:56:59Z",NA
"1194","Aeshna cyanea",11.362398,48.193053,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-06T16:14:11",NA,"Bayern",2020,8,5,2020-08-05,"DE","08:14:00Z",NA
"1195","Aeshna cyanea",12.293716,51.406071,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-21T08:01:47",NA,"Sachsen",2020,8,9,2020-08-09,"DE","15:55:32Z",NA
"1198","Aeshna cyanea",15.013657,48.812205,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-21T13:00:34",NA,"Niederösterreich",2020,8,21,2020-08-21,"AT","10:14:00Z",NA
"1201","Aeshna cyanea",7.919966,50.023568,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-23T16:43:04",NA,"Hessen",2020,8,23,2020-08-23,"DE","11:58:00Z",NA
"1211","Aeshna cyanea",6.101837,49.996044,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-26T08:40:52",NA,"Diekirch",2020,8,26,2020-08-26,"LU","08:37:43Z",NA
"1215","Aeshna cyanea",13.882427,46.92009,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-27T20:18:22",NA,"Steiermark",2020,8,27,2020-08-27,"AT","10:43:41Z",NA
