"","species","scientificName","longitude","latitude","elevation","countryCode","stateProvince","day","month","year","eventDate","endDayOfYear"
"1507","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.572847,49.062786,NA,"DE","Baden-Württemberg",2,9,2020,2020-09-02,NA
"1509","Aeshna cyanea","Aeshna cyanea Müller, 1764",5.899695,49.924653,NA,"LU","Diekirch",8,9,2020,2020-09-08,NA
"1520","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.661523,45.761759,NA,"IT","Lombardia",10,9,2020,2020-09-10,NA
"1527","Aeshna cyanea","Aeshna cyanea Müller, 1764",5.981849,49.507988,NA,"LU","Luxembourg",6,9,2020,2020-09-06,NA
"1529","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.511824,45.772147,NA,"IT","Piemonte",8,9,2020,2020-09-08,NA
"1533","Aeshna cyanea","Aeshna cyanea Müller, 1764",6.040228,49.831672,NA,"LU","Diekirch",4,9,2020,2020-09-04,NA
"1537","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.92106,52.468937,NA,"DE","Niedersachsen",5,9,2020,2020-09-05,NA
"1541","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.920801,52.472218,NA,"DE","Niedersachsen",5,9,2020,2020-09-05,NA
"1542","Aeshna cyanea","Aeshna cyanea Müller, 1764",14.255976,48.324216,NA,"AT","Oberösterreich",7,9,2020,2020-09-07,NA
"1544","Aeshna cyanea","Aeshna cyanea Müller, 1764",5.398552,52.008384,NA,"NL","Utrecht",4,9,2020,2020-09-04,NA
"1545","Aeshna cyanea","Aeshna cyanea Müller, 1764",6.659783,53.08913,NA,"NL","Drenthe",6,9,2020,2020-09-06,NA
"1555","Aeshna cyanea","Aeshna cyanea Müller, 1764",12.960013,47.818049,NA,"DE","Bayern",10,9,2020,2020-09-10,NA
"1578","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.773246,45.716508,NA,"IT","Lombardia",11,9,2020,2020-09-11,NA
"1580","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.724725,45.780178,NA,"IT","Lombardia",12,9,2020,2020-09-12,NA
"1581","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.656176,45.759509,NA,"IT","Lombardia",17,9,2020,2020-09-17,NA
"1586","Aeshna cyanea","Aeshna cyanea Müller, 1764",6.140656,49.690249,NA,"LU","Luxembourg",13,9,2020,2020-09-13,NA
"1588","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.817802,50.000845,NA,"DE","Hessen",16,9,2020,2020-09-16,NA
"1589","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.817802,50.000845,NA,"DE","Hessen",16,9,2020,2020-09-16,NA
"1590","Aeshna cyanea","Aeshna cyanea Müller, 1764",15.460762,47.067795,NA,"AT","Steiermark",11,9,2020,2020-09-11,NA
"1591","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.812746,45.71916,NA,"IT","Lombardia",12,9,2020,2020-09-12,NA
"1592","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.814212,45.717611,NA,"IT","Lombardia",11,9,2020,2020-09-11,NA
"1600","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.703526,52.319746,NA,"DE","Nordrhein-Westfalen",11,9,2020,2020-09-11,NA
"1616","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.723851,45.785714,NA,"IT","Lombardia",12,9,2020,2020-09-12,NA
"1618","Aeshna cyanea","Aeshna cyanea Müller, 1764",16.259274,48.136792,NA,"AT","Wien",16,9,2020,2020-09-16,NA
"1621","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.933869,52.876192,NA,"DE","Brandenburg",12,9,2020,2020-09-12,NA
"1626","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.895479,45.811044,NA,"IT","Lombardia",13,9,2020,2020-09-13,NA
"1628","Aeshna cyanea","Aeshna cyanea Müller, 1764",10.404889,51.123473,NA,"DE","Thüringen",13,9,2020,2020-09-13,NA
